auc_20bin_mean,best_bin_score,completed,episode_score_rows,exclusion_reason,final_20pct_mean,final_bin_mean,game,included_in_completed_primary,latest_episode_score,latest_raw_frames,logdir,method,metric_source_files,seed,source
512.9079365079365,1093.3333333333333,True,159,,772.6190476190475,737.1428571428571,alien,True,1080.0,437828.0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/alien/seed_0,DreamerV3,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/alien/seed_0/scores.jsonl,0,official_full26_original
521.9378246753247,825.7142857142857,True,181,,719.5982142857143,721.4285714285714,alien,True,720.0,438808.0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/alien/seed_1,DreamerV3,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/alien/seed_1/scores.jsonl,1,official_full26_original
674.9424603174604,1648.3333333333333,True,160,,916.1111111111112,993.3333333333334,alien,True,880.0,437140.0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/alien/seed_2,DreamerV3,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/alien/seed_2/scores.jsonl,2,official_full26_original
438.64087301587296,665.7142857142857,True,171,,599.7271825396825,608.75,alien,True,600.0,436412.0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/alien/seed_3,DreamerV3,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/alien/seed_3/scores.jsonl,3,official_full26_original
657.5873015873016,1352.857142857143,True,148,,1015.4166666666667,1352.857142857143,alien,True,2280.0,439220.0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/alien/seed_4,DreamerV3,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/alien/seed_4/scores.jsonl,4,official_full26_original
4.376165502024635,6.642857142857143,True,332,,6.17780987394958,6.642857142857143,breakout,True,8.0,438276.0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0,DreamerV3,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/scores.jsonl,0,official_full26_original
5.909527249711074,9.928571428571429,True,351,,8.026079822954824,8.307692307692308,breakout,True,9.0,438820.0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_1,DreamerV3,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_1/scores.jsonl,1,official_full26_original
5.690683765468248,11.6,True,274,,9.618181818181817,11.6,breakout,True,10.0,439928.0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_2,DreamerV3,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_2/scores.jsonl,2,official_full26_original
4.4528379300438115,8.153846153846153,True,288,,5.862464985994398,5.411764705882353,breakout,True,10.0,439056.0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_3_repair_no_video,DreamerV3,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_3_repair_no_video/scores.jsonl,3,official_full26_repair_no_video
4.006121199594665,7.923076923076923,True,341,,6.302197802197802,6.785714285714286,breakout,True,10.0,439136.0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_4,DreamerV3,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_4/scores.jsonl,4,official_full26_original
